"","MouseAstroCulture","MouseNeuronCulture","MouseNeuronSlice","MouseInterneuronSlice"
"MouseBrainChIPBHMs_HindbrainEmbryo16.5days_H3K9me3",0,1.92903864080822e-21,2.5510782455547e-135,1.21120869526172e-125
"MouseBrainChIPBHMs_HindbrainEmbryo16.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_HindbrainPostnatal0days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainPostnatal0days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_HindbrainPostnatal0days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_HindbrainPostnatal0days_H3K9me3",0,0,0,5.31635151187756e-39
"MouseBrainChIPBHMs_MidbrainEmbryo10.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo10.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo10.5days_H3K9me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo10.5days_H3K27me3",0,8.08712670826288e-225,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo11.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo11.5days_H3K9me3",0,2.04985849824899e-171,2.52801916769865e-68,0
"MouseBrainChIPBHMs_MidbrainEmbryo11.5days_H3K36me3",1.03498242944488e-252,0,0,2.22963436560686e-22
"MouseBrainChIPBHMs_MidbrainEmbryo11.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo12.5days_H3K9me3",0,5.97263541254442e-33,8.65395200325876e-13,0
"MouseBrainChIPBHMs_MidbrainEmbryo12.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo12.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo13.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo13.5days_H3K36me3",0,0,0,1.72956508220928e-236
"MouseBrainChIPBHMs_MidbrainEmbryo13.5days_H3K9me3",0,0.000701891212748155,1.1588151490147e-308,3.27106799184306e-137
"MouseBrainChIPBHMs_MidbrainEmbryo13.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo14.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo14.5days_H3K9me3",4.17750819783391e-196,0,1.37500978712835e-09,9.09782249120049e-18
"MouseBrainChIPBHMs_MidbrainEmbryo14.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo14.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo15.5days_H3K9me3",0,0,6.54906026989275e-102,0.0257138569892069
"MouseBrainChIPBHMs_MidbrainEmbryo15.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo15.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo15.5days_H3K36me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo16.5days_H3K36me3",0,0,0,2.52498777866192e-13
"MouseBrainChIPBHMs_MidbrainEmbryo16.5days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_MidbrainEmbryo16.5days_H3K9me3",0,3.91303950567003e-219,1.45734053992311e-227,7.131485593272e-261
"MouseBrainChIPBHMs_MidbrainEmbryo16.5days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_MidbrainPostnatal0days_H3K4me1",0,0,0,0
"MouseBrainChIPBHMs_MidbrainPostnatal0days_H3K36me3",0,0,0,8.27486422463071e-183
"MouseBrainChIPBHMs_MidbrainPostnatal0days_H3K9me3",0,4.57026500490247e-43,0.469915591484601,5.27610455175016e-11
"MouseBrainChIPBHMs_MidbrainPostnatal0days_H3K27me3",0,0,0,0
"MouseBrainChIPBHMs_OlfactoryBulbMaleAdult8Weeks_H3K4me1",0,0,0,0
"MouseBrainSEPeaks_Brain14.5",0,0,0,0
"MouseBrainSEPeaks_Cerebellum",0,0.00064390834480582,0,0
"MouseBrainSEPeaks_Cortex",0,0,0,0
"MouseNonBDNAPeaks_Inverted",2.12030664302447e-198,0,3.31232664531803e-43,2.92063080338799e-184
"MouseNonBDNAPeaks_Direct",0,0,0,0
"MouseNonBDNAPeaks_GQuadruplexForming",0,0,0,0
"MouseNonBDNAPeaks_Mirror",0,0,0,0
"MouseNonBDNAPeaks_ZDNAMotifs",0,0,0.137762972005393,5.10071231767584e-07
"MouseNonBDNAPeaks_ShortTandem",0,0,0,0
"MouseNonBDNAPeaks_APhased",0,0,0,0
